DBN,School Name,Year,% English Language Learners
02M282,Urban Assembly Maker Academy,2022-23,0.0476190485060215
02M288,Food and Finance High School,2018-19,0.03200000151991844
02M288,Food and Finance High School,2019-20,0.036939315497875214
02M288,Food and Finance High School,2020-21,0.04556354880332947
02M288,Food and Finance High School,2021-22,0.04918032884597778
02M288,Food and Finance High School,2022-23,0.04398148134350777
02M289,I.S. 289,2018-19,0.04929577559232712
02M289,I.S. 289,2019-20,0.032608695328235626
02M289,I.S. 289,2020-21,0.05323193967342377
02M289,I.S. 289,2021-22,0.04661016911268234
02M289,I.S. 289,2022-23,0.02092050202190876
02M290,P.S. 290 Manhattan New School,2018-19,0.021848740056157112
02M290,P.S. 290 Manhattan New School,2019-20,0.033158812671899796
02M290,P.S. 290 Manhattan New School,2020-21,0.02850877121090889
02M290,P.S. 290 Manhattan New School,2021-22,0.03132530301809311
02M290,P.S. 290 Manhattan New School,2022-23,0.046296294778585434
02M294,Essex Street Academy,2018-19,0.03539822995662689
02M294,Essex Street Academy,2019-20,0.03254437819123268
02M294,Essex Street Academy,2020-21,0.027027027681469917
02M294,Essex Street Academy,2021-22,0.02266288921236992
02M294,Essex Street Academy,2022-23,0.01983002759516239
02M296,High School of Hospitality Management,2018-19,0.09210526198148727
02M296,High School of Hospitality Management,2019-20,0.08902077376842499
02M296,High School of Hospitality Management,2020-21,0.10248447209596634
02M296,High School of Hospitality Management,2021-22,0.09243697673082352
02M296,High School of Hospitality Management,2022-23,0.08571428805589676
02M297,M.S. 297,2018-19,0.03386809304356575
02M297,M.S. 297,2019-20,0.02972651645541191
02M297,M.S. 297,2020-21,0.024449877440929413
02M297,M.S. 297,2021-22,0.023140495643019676
02M297,M.S. 297,2022-23,0.17291666567325592
02M298,Pace High School,2018-19,0.029720280319452286
02M298,Pace High School,2019-20,0.030965391546487808
02M298,Pace High School,2020-21,0.04873949661850929
02M298,Pace High School,2021-22,0.052901022136211395
02M298,Pace High School,2022-23,0.05094339698553085
02M300,"Urban Assembly School of Design and Construction,",2018-19,0.11589404195547104
02M300,"Urban Assembly School of Design and Construction,",2019-20,0.07604562491178513
02M300,"Urban Assembly School of Design and Construction,",2020-21,0.07782100886106491
02M300,"Urban Assembly School of Design and Construction,",2021-22,0.0714285746216774
02M300,"Urban Assembly School of Design and Construction,",2022-23,0.0533333346247673
02M303,"Facing History School, The",2018-19,0.11021505296230316
02M303,"Facing History School, The",2019-20,0.10000000149011612
02M303,"Facing History School, The",2020-21,0.12990936636924744
02M303,"Facing History School, The",2021-22,0.113772451877594
02M303,"Facing History School, The",2022-23,0.1003236249089241
02M305,"Urban Assembly Academy of Government and Law, The",2018-19,0.040123455226421356
02M305,"Urban Assembly Academy of Government and Law, The",2019-20,0.034161489456892014
02M305,"Urban Assembly Academy of Government and Law, The",2020-21,0.04297994449734688
02M305,"Urban Assembly Academy of Government and Law, The",2021-22,0.0498533733189106
02M305,"Urban Assembly Academy of Government and Law, The",2022-23,0.04827586188912392
02M308,Lower Manhattan Arts Academy,2018-19,0.06896551698446274
02M308,Lower Manhattan Arts Academy,2019-20,0.0573248416185379
02M308,Lower Manhattan Arts Academy,2020-21,0.06358381360769272
02M308,Lower Manhattan Arts Academy,2021-22,0.06213017925620079
02M308,Lower Manhattan Arts Academy,2022-23,0.050632912665605545
02M312,New York City Lab Middle School for Collaborative,2018-19,0.015985790640115738
02M312,New York City Lab Middle School for Collaborative,2019-20,0.008291874080896378
02M312,New York City Lab Middle School for Collaborative,2020-21,0.010452961549162865
02M312,New York City Lab Middle School for Collaborative,2021-22,0.02247191034257412
02M312,New York City Lab Middle School for Collaborative,2022-23,0.023255813866853714
02M313,"James Baldwin School, The: A School for Expedition",2018-19,0.08571428805589676
02M313,"James Baldwin School, The: A School for Expedition",2019-20,0.07264957576990128
02M313,"James Baldwin School, The: A School for Expedition",2020-21,0.09047619253396988
02M313,"James Baldwin School, The: A School for Expedition",2021-22,0.06211180239915848
02M313,"James Baldwin School, The: A School for Expedition",2022-23,0.0694444477558136
02M316,"Urban Assembly School of Business for Young Women,",2018-19,0.07262569665908813
02M316,"Urban Assembly School of Business for Young Women,",2019-20,0.08988764137029648
02M316,"Urban Assembly School of Business for Young Women,",2020-21,0.13605442643165588
02M316,"Urban Assembly School of Business for Young Women,",2021-22,0.104347825050354
02M316,"Urban Assembly School of Business for Young Women,",2022-23,0.1204819306731224
02M340,Sixth Avenue Elementary School,2018-19,0.011799409985542297
02M340,Sixth Avenue Elementary School,2019-20,0
02M340,Sixth Avenue Elementary School,2020-21,0.002816901309415698
02M340,Sixth Avenue Elementary School,2021-22,0.023391813039779663
02M340,Sixth Avenue Elementary School,2022-23,0.06382978707551956
02M343,The Peck Slip School,2018-19,0.017094017937779427
02M343,The Peck Slip School,2019-20,0.017467249184846878
02M343,The Peck Slip School,2020-21,0.01886792480945587
02M343,The Peck Slip School,2021-22,0.03475935757160187
02M343,The Peck Slip School,2022-23,0.037617553025484085
02M347,The 47 American Sign Language & English Lower Scho,2018-19,0.196891188621521
02M347,The 47 American Sign Language & English Lower Scho,2019-20,0.15469613671302795
02M347,The 47 American Sign Language & English Lower Scho,2020-21,0.140625
02M347,The 47 American Sign Language & English Lower Scho,2021-22,0.16483516991138458
